Budget_ID,Project_ID,Project_Name,Cost_Category,Allocated_Budget,Actual_Spent,Remaining_Budget,Budget_Status,Variance_Percent,Last_Updated,Vendor,Purchase_Orders,Committed_Costs,Monthly_Spending,Risk_Level,Notes
B0011,PROJ002,Riverside Apartments,Structural Steel,3600000.0,1673779.82,1926220.18,Within Budget,-53.51,2025-09-19,Structural Steel Contractor Inc.,5,364503.54,"[{""month"": ""2024-01"", ""amount"": 96214.31}, {""month"": ""2024-01"", ""amount"": 90770.86}, {""month"": ""2024-03"", ""amount"": 108492.74}, {""month"": ""2024-03"", ""amount"": 139023.44}, {""month"": ""2024-04"", ""amount"": 111749.26}, {""month"": ""2024-05"", ""amount"": 170293.23}, {""month"": ""2024-06"", ""amount"": 136266.04}, {""month"": ""2024-07"", ""amount"": 110326.02}, {""month"": ""2024-08"", ""amount"": 194550.51}, {""month"": ""2024-09"", ""amount"": 158803.01}, {""month"": ""2024-10"", ""amount"": 220851.9}, {""month"": ""2024-11"", ""amount"": 93032.61}]",Medium,Budget tracking for Structural Steel activities
B0012,PROJ002,Riverside Apartments,Concrete,2160000.0,1899154.57,260845.43,Within Budget,-12.08,2025-09-19,Concrete Contractor Inc.,21,273014.67,"[{""month"": ""2024-01"", ""amount"": 250904.94}, {""month"": ""2024-01"", ""amount"": 219227.14}, {""month"": ""2024-03"", ""amount"": 265137.8}, {""month"": ""2024-03"", ""amount"": 278425.71}, {""month"": ""2024-04"", ""amount"": 122891.08}, {""month"": ""2024-05"", ""amount"": 277170.6}, {""month"": ""2024-06"", ""amount"": 149303.85}, {""month"": ""2024-07"", ""amount"": 207477.17}, {""month"": ""2024-08"", ""amount"": 152271.12}, {""month"": ""2024-09"", ""amount"": 208028.81}, {""month"": ""2024-10"", ""amount"": 265710.82}, {""month"": ""2024-11"", ""amount"": 244578.98}]",Medium,Budget tracking for Concrete activities
B0013,PROJ002,Riverside Apartments,MEP Systems,4500000.0,1763774.26,2736225.74,Within Budget,-60.81,2025-09-19,MEP Systems Contractor Inc.,21,1094019.31,"[{""month"": ""2024-01"", ""amount"": 211500.16}, {""month"": ""2024-01"", ""amount"": 239900.38}, {""month"": ""2024-03"", ""amount"": 243109.82}, {""month"": ""2024-03"", ""amount"": 234541.3}, {""month"": ""2024-04"", ""amount"": 76529.23}, {""month"": ""2024-05"", ""amount"": 90165.15}, {""month"": ""2024-06"", ""amount"": 248733.21}, {""month"": ""2024-07"", ""amount"": 203606.41}, {""month"": ""2024-08"", ""amount"": 181066.05}, {""month"": ""2024-09"", ""amount"": 181481.26}, {""month"": ""2024-10"", ""amount"": 123446.69}, {""month"": ""2024-11"", ""amount"": 227529.7}]",Medium,Budget tracking for MEP Systems activities
B0014,PROJ002,Riverside Apartments,Interior Finishes,2160000.0,859365.35,1300634.65,Within Budget,-60.21,2025-09-19,Interior Finishes Contractor Inc.,13,320636.46,"[{""month"": ""2024-01"", ""amount"": 112696.05}, {""month"": ""2024-01"", ""amount"": 109699.88}, {""month"": ""2024-03"", ""amount"": 125408.27}, {""month"": ""2024-03"", ""amount"": 126870.32}, {""month"": ""2024-04"", ""amount"": 75541.62}, {""month"": ""2024-05"", ""amount"": 55960.72}, {""month"": ""2024-06"", ""amount"": 82145.09}, {""month"": ""2024-07"", ""amount"": 113521.91}, {""month"": ""2024-08"", ""amount"": 72887.18}, {""month"": ""2024-09"", ""amount"": 95020.04}, {""month"": ""2024-10"", ""amount"": 87904.24}, {""month"": ""2024-11"", ""amount"": 80261.82}]",Medium,Budget tracking for Interior Finishes activities
B0015,PROJ002,Riverside Apartments,Exterior Finishes,900000.0,437038.17,462961.83,Within Budget,-51.44,2025-09-19,Exterior Finishes Contractor Inc.,22,123224.85,"[{""month"": ""2024-01"", ""amount"": 65099.62}, {""month"": ""2024-01"", ""amount"": 62032.14}, {""month"": ""2024-03"", ""amount"": 29127.14}, {""month"": ""2024-03"", ""amount"": 30023.03}, {""month"": ""2024-04"", ""amount"": 62585.42}, {""month"": ""2024-05"", ""amount"": 64481.01}, {""month"": ""2024-06"", ""amount"": 23343.88}, {""month"": ""2024-07"", ""amount"": 39003.36}, {""month"": ""2024-08"", ""amount"": 61641.78}, {""month"": ""2024-09"", ""amount"": 49673.51}, {""month"": ""2024-10"", ""amount"": 26767.26}, {""month"": ""2024-11"", ""amount"": 50491.6}]",Low,Budget tracking for Exterior Finishes activities
B0016,PROJ002,Riverside Apartments,Equipment,540000.0,476495.24,63504.76,Within Budget,-11.76,2025-09-19,Equipment Contractor Inc.,22,114095.09,"[{""month"": ""2024-01"", ""amount"": 62266.38}, {""month"": ""2024-01"", ""amount"": 51012.92}, {""month"": ""2024-03"", ""amount"": 32767.87}, {""month"": ""2024-03"", ""amount"": 52232.62}, {""month"": ""2024-04"", ""amount"": 25506.59}, {""month"": ""2024-05"", ""amount"": 48143.35}, {""month"": ""2024-06"", ""amount"": 23032.23}, {""month"": ""2024-07"", ""amount"": 65131.0}, {""month"": ""2024-08"", ""amount"": 56826.23}, {""month"": ""2024-09"", ""amount"": 46627.76}, {""month"": ""2024-10"", ""amount"": 20573.27}, {""month"": ""2024-11"", ""amount"": 36917.28}]",Low,Budget tracking for Equipment activities
B0017,PROJ003,Tech Campus Expansion,Site Preparation,2800000.0,1301215.2,1498784.8,Within Budget,-53.53,2025-09-19,Site Preparation Contractor Inc.,24,309237.03,"[{""month"": ""2024-01"", ""amount"": 140595.51}, {""month"": ""2024-01"", ""amount"": 158915.42}, {""month"": ""2024-03"", ""amount"": 165767.18}, {""month"": ""2024-03"", ""amount"": 119075.31}, {""month"": ""2024-04"", ""amount"": 184355.03}, {""month"": ""2024-05"", ""amount"": 105522.13}, {""month"": ""2024-06"", ""amount"": 92778.67}, {""month"": ""2024-07"", ""amount"": 187672.48}, {""month"": ""2024-08"", ""amount"": 110190.16}, {""month"": ""2024-09"", ""amount"": 122170.44}, {""month"": ""2024-10"", ""amount"": 86918.14}, {""month"": ""2024-11"", ""amount"": 194553.78}]",Medium,Budget tracking for Site Preparation activities
B0018,PROJ003,Tech Campus Expansion,Foundation,5250000.0,4043422.07,1206577.93,Within Budget,-22.98,2025-09-19,Foundation Contractor Inc.,8,777900.11,"[{""month"": ""2024-01"", ""amount"": 570906.05}, {""month"": ""2024-01"", ""amount"": 559590.1}, {""month"": ""2024-03"", ""amount"": 517162.21}, {""month"": ""2024-03"", ""amount"": 283875.09}, {""month"": ""2024-04"", ""amount"": 444293.55}, {""month"": ""2024-05"", ""amount"": 437277.11}, {""month"": ""2024-06"", ""amount"": 433317.21}, {""month"": ""2024-07"", ""amount"": 567425.08}, {""month"": ""2024-08"", ""amount"": 298149.39}, {""month"": ""2024-09"", ""amount"": 211180.32}, {""month"": ""2024-10"", ""amount"": 311219.59}, {""month"": ""2024-11"", ""amount"": 587853.11}]",Medium,Budget tracking for Foundation activities
B0019,PROJ003,Tech Campus Expansion,Structural Steel,7000000.0,3854140.22,3145859.78,Within Budget,-44.94,2025-09-19,Structural Steel Contractor Inc.,14,1345822.73,"[{""month"": ""2024-01"", ""amount"": 197212.75}, {""month"": ""2024-01"", ""amount"": 186423.49}, {""month"": ""2024-03"", ""amount"": 287161.3}, {""month"": ""2024-03"", ""amount"": 514046.08}, {""month"": ""2024-04"", ""amount"": 276095.04}, {""month"": ""2024-05"", ""amount"": 337246.38}, {""month"": ""2024-06"", ""amount"": 357611.4}, {""month"": ""2024-07"", ""amount"": 321442.79}, {""month"": ""2024-08"", ""amount"": 536688.51}, {""month"": ""2024-09"", ""amount"": 535985.65}, {""month"": ""2024-10"", ""amount"": 402951.54}, {""month"": ""2024-11"", ""amount"": 193991.13}]",High,Budget tracking for Structural Steel activities
B0020,PROJ003,Tech Campus Expansion,Concrete,4200000.0,1491464.76,2708535.24,Within Budget,-64.49,2025-09-19,Concrete Contractor Inc.,21,861818.52,"[{""month"": ""2024-01"", ""amount"": 192678.0}, {""month"": ""2024-01"", ""amount"": 99447.12}, {""month"": ""2024-03"", ""amount"": 83227.95}, {""month"": ""2024-03"", ""amount"": 111038.13}, {""month"": ""2024-04"", ""amount"": 159872.0}, {""month"": ""2024-05"", ""amount"": 78624.24}, {""month"": ""2024-06"", ""amount"": 65743.69}, {""month"": ""2024-07"", ""amount"": 137602.27}, {""month"": ""2024-08"", ""amount"": 108262.69}, {""month"": ""2024-09"", ""amount"": 82424.58}, {""month"": ""2024-10"", ""amount"": 127415.43}, {""month"": ""2024-11"", ""amount"": 121216.97}]",Low,Budget tracking for Concrete activities
B0021,PROJ003,Tech Campus Expansion,MEP Systems,8750000.0,7711898.5,1038101.5,Within Budget,-11.86,2025-09-19,MEP Systems Contractor Inc.,22,1335322.91,"[{""month"": ""2024-01"", ""amount"": 643855.96}, {""month"": ""2024-01"", ""amount"": 396171.89}, {""month"": ""2024-03"", ""amount"": 535854.55}, {""month"": ""2024-03"", ""amount"": 979652.14}, {""month"": ""2024-04"", ""amount"": 437025.08}, {""month"": ""2024-05"", ""amount"": 489669.5}, {""month"": ""2024-06"", ""amount"": 1038737.74}, {""month"": ""2024-07"", ""amount"": 968121.76}, {""month"": ""2024-08"", ""amount"": 807108.04}, {""month"": ""2024-09"", ""amount"": 614075.25}, {""month"": ""2024-10"", ""amount"": 744885.14}, {""month"": ""2024-11"", ""amount"": 497681.98}]",Medium,Budget tracking for MEP Systems activities
B0022,PROJ003,Tech Campus Expansion,Interior Finishes,4200000.0,2332719.83,1867280.17,Within Budget,-44.46,2025-09-19,Interior Finishes Contractor Inc.,16,778832.38,"[{""month"": ""2024-01"", ""amount"": 295756.4}, {""month"": ""2024-01"", ""amount"": 224911.97}, {""month"": ""2024-03"", ""amount"": 178701.76}, {""month"": ""2024-03"", ""amount"": 345210.14}, {""month"": ""2024-04"", ""amount"": 347750.51}, {""month"": ""2024-05"", ""amount"": 267680.05}, {""month"": ""2024-06"", ""amount"": 278491.69}, {""month"": ""2024-07"", ""amount"": 140959.63}, {""month"": ""2024-08"", ""amount"": 310408.45}, {""month"": ""2024-09"", ""amount"": 110197.9}, {""month"": ""2024-10"", ""amount"": 308976.71}, {""month"": ""2024-11"", ""amount"": 331135.92}]",Medium,Budget tracking for Interior Finishes activities
B0023,PROJ003,Tech Campus Expansion,Exterior Finishes,1750000.0,947035.22,802964.78,Within Budget,-45.88,2025-09-19,Exterior Finishes Contractor Inc.,10,523025.35,"[{""month"": ""2024-01"", ""amount"": 103790.04}, {""month"": ""2024-01"", ""amount"": 46121.55}, {""month"": ""2024-03"", ""amount"": 96899.5}, {""month"": ""2024-03"", ""amount"": 41160.5}, {""month"": ""2024-04"", ""amount"": 41169.42}, {""month"": ""2024-05"", ""amount"": 61761.33}, {""month"": ""2024-06"", ""amount"": 105470.31}, {""month"": ""2024-07"", ""amount"": 62116.12}, {""month"": ""2024-08"", ""amount"": 72747.1}, {""month"": ""2024-09"", ""amount"": 39654.57}, {""month"": ""2024-10"", ""amount"": 91979.36}, {""month"": ""2024-11"", ""amount"": 86728.09}]",Medium,Budget tracking for Exterior Finishes activities
B0024,PROJ003,Tech Campus Expansion,Equipment,1050000.0,439055.94,610944.06,Within Budget,-58.19,2025-09-19,Equipment Contractor Inc.,21,148557.06,"[{""month"": ""2024-01"", ""amount"": 41837.72}, {""month"": ""2024-01"", ""amount"": 42920.81}, {""month"": ""2024-03"", ""amount"": 19141.09}, {""month"": ""2024-03"", ""amount"": 28817.97}, {""month"": ""2024-04"", ""amount"": 22733.83}, {""month"": ""2024-05"", ""amount"": 53258.73}, {""month"": ""2024-06"", ""amount"": 51227.27}, {""month"": ""2024-07"", ""amount"": 34350.74}, {""month"": ""2024-08"", ""amount"": 22770.47}, {""month"": ""2024-09"", ""amount"": 43107.76}, {""month"": ""2024-10"", ""amount"": 57828.44}, {""month"": ""2024-11"", ""amount"": 46709.36}]",Low,Budget tracking for Equipment activities
B0025,PROJ004,Metro Hospital Wing,Site Preparation,3600000.0,1960804.6,1639195.4,Within Budget,-45.53,2025-09-19,Site Preparation Contractor Inc.,17,690156.15,"[{""month"": ""2024-01"", ""amount"": 289487.76}, {""month"": ""2024-01"", ""amount"": 155135.03}, {""month"": ""2024-03"", ""amount"": 211933.29}, {""month"": ""2024-03"", ""amount"": 293504.12}, {""month"": ""2024-04"", ""amount"": 214046.46}, {""month"": ""2024-05"", ""amount"": 135199.65}, {""month"": ""2024-06"", ""amount"": 275062.52}, {""month"": ""2024-07"", ""amount"": 208761.25}, {""month"": ""2024-08"", ""amount"": 247544.3}, {""month"": ""2024-09"", ""amount"": 263937.75}, {""month"": ""2024-10"", ""amount"": 195140.34}, {""month"": ""2024-11"", ""amount"": 151404.1}]",Low,Budget tracking for Site Preparation activities
B0026,PROJ004,Metro Hospital Wing,Foundation,6750000.0,5182128.89,1567871.11,Within Budget,-23.23,2025-09-19,Foundation Contractor Inc.,20,1488560.16,"[{""month"": ""2024-01"", ""amount"": 399616.13}, {""month"": ""2024-01"", ""amount"": 723571.39}, {""month"": ""2024-03"", ""amount"": 256994.28}, {""month"": ""2024-03"", ""amount"": 536742.78}, {""month"": ""2024-04"", ""amount"": 749037.04}, {""month"": ""2024-05"", ""amount"": 635992.95}, {""month"": ""2024-06"", ""amount"": 575370.08}, {""month"": ""2024-07"", ""amount"": 250671.78}, {""month"": ""2024-08"", ""amount"": 259055.77}, {""month"": ""2024-09"", ""amount"": 305474.28}, {""month"": ""2024-10"", ""amount"": 397174.77}, {""month"": ""2024-11"", ""amount"": 483161.51}]",Low,Budget tracking for Foundation activities
B0027,PROJ004,Metro Hospital Wing,Structural Steel,9000000.0,4965799.34,4034200.66,Within Budget,-44.82,2025-09-19,Structural Steel Contractor Inc.,9,1256346.24,"[{""month"": ""2024-01"", ""amount"": 528904.61}, {""month"": ""2024-01"", ""amount"": 254209.75}, {""month"": ""2024-03"", ""amount"": 658199.72}, {""month"": ""2024-03"", ""amount"": 314369.77}, {""month"": ""2024-04"", ""amount"": 526031.98}, {""month"": ""2024-05"", ""amount"": 652672.94}, {""month"": ""2024-06"", ""amount"": 641019.51}, {""month"": ""2024-07"", ""amount"": 520353.9}, {""month"": ""2024-08"", ""amount"": 603175.24}, {""month"": ""2024-09"", ""amount"": 539349.74}, {""month"": ""2024-10"", ""amount"": 612083.19}, {""month"": ""2024-11"", ""amount"": 283281.58}]",Low,Budget tracking for Structural Steel activities
B0028,PROJ004,Metro Hospital Wing,Concrete,5400000.0,3882005.73,1517994.27,Within Budget,-28.11,2025-09-19,Concrete Contractor Inc.,21,883733.38,"[{""month"": ""2024-01"", ""amount"": 464145.34}, {""month"": ""2024-01"", ""amount"": 555206.51}, {""month"": ""2024-03"", ""amount"": 337165.19}, {""month"": ""2024-03"", ""amount"": 335501.82}, {""month"": ""2024-04"", ""amount"": 493815.21}, {""month"": ""2024-05"", ""amount"": 480031.45}, {""month"": ""2024-06"", ""amount"": 376866.14}, {""month"": ""2024-07"", ""amount"": 189541.7}, {""month"": ""2024-08"", ""amount"": 357541.55}, {""month"": ""2024-09"", ""amount"": 482186.46}, {""month"": ""2024-10"", ""amount"": 269291.79}, {""month"": ""2024-11"", ""amount"": 419169.46}]",Medium,Budget tracking for Concrete activities
B0029,PROJ004,Metro Hospital Wing,MEP Systems,11250000.0,6074879.14,5175120.86,Within Budget,-46.0,2025-09-19,MEP Systems Contractor Inc.,15,1934756.94,"[{""month"": ""2024-01"", ""amount"": 567356.95}, {""month"": ""2024-01"", ""amount"": 456987.38}, {""month"": ""2024-03"", ""amount"": 829722.12}, {""month"": ""2024-03"", ""amount"": 332604.29}, {""month"": ""2024-04"", ""amount"": 493832.92}, {""month"": ""2024-05"", ""amount"": 686634.15}, {""month"": ""2024-06"", ""amount"": 791238.59}, {""month"": ""2024-07"", ""amount"": 440554.32}, {""month"": ""2024-08"", ""amount"": 615342.65}, {""month"": ""2024-09"", ""amount"": 270279.93}, {""month"": ""2024-10"", ""amount"": 756154.03}, {""month"": ""2024-11"", ""amount"": 560752.33}]",High,Budget tracking for MEP Systems activities
B0030,PROJ004,Metro Hospital Wing,Interior Finishes,5400000.0,2697311.55,2702688.45,Within Budget,-50.05,2025-09-19,Interior Finishes Contractor Inc.,5,1438810.59,"[{""month"": ""2024-01"", ""amount"": 270535.68}, {""month"": ""2024-01"", ""amount"": 395185.84}, {""month"": ""2024-03"", ""amount"": 148611.68}, {""month"": ""2024-03"", ""amount"": 254439.84}, {""month"": ""2024-04"", ""amount"": 132131.1}, {""month"": ""2024-05"", ""amount"": 289588.7}, {""month"": ""2024-06"", ""amount"": 216085.94}, {""month"": ""2024-07"", ""amount"": 263755.24}, {""month"": ""2024-08"", ""amount"": 216397.95}, {""month"": ""2024-09"", ""amount"": 396070.83}, {""month"": ""2024-10"", ""amount"": 307937.21}, {""month"": ""2024-11"", ""amount"": 196703.6}]",Medium,Budget tracking for Interior Finishes activities
B0031,PROJ004,Metro Hospital Wing,Exterior Finishes,2250000.0,2192338.24,57661.76,Near Budget Limit,-2.56,2025-09-19,Exterior Finishes Contractor Inc.,8,576184.68,"[{""month"": ""2024-01"", ""amount"": 273632.18}, {""month"": ""2024-01"", ""amount"": 109691.1}, {""month"": ""2024-03"", ""amount"": 124733.43}, {""month"": ""2024-03"", ""amount"": 92365.58}, {""month"": ""2024-04"", ""amount"": 215916.79}, {""month"": ""2024-05"", ""amount"": 284030.41}, {""month"": ""2024-06"", ""amount"": 198293.39}, {""month"": ""2024-07"", ""amount"": 152486.21}, {""month"": ""2024-08"", ""amount"": 129411.8}, {""month"": ""2024-09"", ""amount"": 119072.05}, {""month"": ""2024-10"", ""amount"": 310269.64}, {""month"": ""2024-11"", ""amount"": 148915.47}]",Medium,Budget tracking for Exterior Finishes activities
B0032,PROJ004,Metro Hospital Wing,Equipment,1350000.0,1361596.08,-11596.08,Over Budget,0.86,2025-09-19,Equipment Contractor Inc.,24,188518.39,"[{""month"": ""2024-01"", ""amount"": 186895.43}, {""month"": ""2024-01"", ""amount"": 78495.87}, {""month"": ""2024-03"", ""amount"": 66543.14}, {""month"": ""2024-03"", ""amount"": 116747.54}, {""month"": ""2024-04"", ""amount"": 151907.29}, {""month"": ""2024-05"", ""amount"": 141891.48}, {""month"": ""2024-06"", ""amount"": 164377.58}, {""month"": ""2024-07"", ""amount"": 101856.65}, {""month"": ""2024-08"", ""amount"": 123666.47}, {""month"": ""2024-09"", ""amount"": 115068.66}, {""month"": ""2024-10"", ""amount"": 164374.9}, {""month"": ""2024-11"", ""amount"": 135849.97}]",Low,Budget tracking for Equipment activities
